id,name,border
Krosan Grip,370557,m
Life from the Loam,370398,m
Rude Awakening,370470,m
Search for Tomorrow,370526,m
Summoner's Pact,370563,m
Sylvan Bounty,370372,m
Tooth and Nail,370432,m
Tromp the Domains,370364,m
Electrolyze,370376,m
Lightning Helix,370528,m
Maelstrom Pulse,370521,m
Mind Funeral,370509,m
Manamorphose,370568,m
Worm Harvest,370532,m
Banishing Stroke,425827,c
Entreat the Angels,425829,c
Eyes in the Skies,425830,c
Graceful Reprieve,425833,c
Lingering Souls,425837,c
Momentary Blink,425841,c
Path to Exile,425842,c
Rootborn Defenses,425846,c
Terminus,425851,c
Wake the Reflections,425853,c
Cackling Counterpart,425857,c
Compulsive Research,425858,c
Crippling Chill,425859,c
Cyclonic Rift,425860,c
Familiar's Ruse,425862,c
Forbidden Alchemy,425863,c
Ghostly Flicker,425864,c
Gifts Ungiven,425865,c
Grasp of Phantoms,425866,c
Mystical Teachings,425869,c
Opportunity,425870,c
Rewind,425872,c
Serum Visions,425874,c
Spell Pierce,425876,c
Temporal Mastery,425879,c
Bone Splinters,425885,c
Cower in Fear,425887,c
Damnation,425888,c
Delirium Skeins,425890,c
Grisly Spectacle,425898,c
Inquisition of Kozilek,425900,c
Mind Shatter,425902,c
Night Terrors,425904,c
Recover,425907,c
Sever the Bloodline,425909,c
Unburial Rites,425910,c
Ancient Grudge,425913,c
Bonfire of the Damned,425916,c
Chandra's Outrage,425917,c
Dragon Fodder,425918,c
Dynacharge,425919,c
Magma Jet,425925,c
Mizzium Mortars,425926,c
Molten Rain,425928,c
Past in Flames,425930,c
Pyroclasm,425932,c
Thunderous Wrath,425938,c
Traitorous Instinct,425939,c
Call of the Herd,425946,c
Druid's Deliverance,425949,c
Explore,425950,c
Harmonize,425953,c
Might of Old Krosa,425955,c
Primal Command,425957,c
Revive,425958,c
Slime Molding,425962,c
Strength in Numbers,425963,c
Abrupt Decay,425971,c
Advent of the Wurm,425972,c
Aethermage's Touch,425973,c
Agony Warp,425975,c
Auger Spree,425976,c
Call of the Conclave,425979,c
Cruel Ultimatum,425983,c
Fiery Justice,425989,c
Ground Assault,425994,c
Izzet Charm,425996,c
Mystic Genesis,425999,c
Pilfered Plans,426003,c
Putrefy,426004,c
Soul Manipulation,426010,c
Sphinx's Revelation,426012,c
Teleportal,426018,c
Terminate,426019,c
Urban Evolution,426023,c
Vanish into Memory,426024,c
Aethertow,426030,c
Giantbaiting,426033,c
Sundering Growth,426036,c
Torrent of Souls,426038,c
Apostle's Blessing,397768,c
Celestial Purge,397699,c
Dispatch,397781,c
Fortify,397874,c
Mighty Leap,397681,c
Raise the Alarm,397666,c
Spectral Procession,397841,c
Sunlance,397862,c
Cryptic Command,397793,c
Flashfreeze,397775,c
Hurkyl's Recall,397868,c
Mana Leak,397773,c
Remand,397881,c
Repeal,397667,c
Steady Progress,397805,c
Stoic Rebuttal,397765,c
Telling Time,397728,c
Tezzeret's Gambit,397670,c
Thoughtcast,397804,c
Vapor Snag,397738,c
Bone Splinters,397770,c
Deathmark,397787,c
Dismember,397830,c
Grim Affliction,397899,c
Instill Infection,397820,c
Profane Command,397713,c
Shrivel,397857,c
Sign in Blood,397739,c
Spread the Sickness,397823,c
Surgical Extraction,397706,c
Banefire,397676,c
Brute Force,397729,c
Burst Lightning,397662,c
Combust,397783,c
Comet Storm,397758,c
Fiery Fall,397692,c
Gut Shot,397673,c
Lightning Bolt,397722,c
Smash to Smithereens,397795,c
Tribal Flames,397842,c
Wildfire,397825,c
Wrap in Flames,397720,c
All Suns' Dawn,397741,c
Bestial Menace,397840,c
Commune with Nature,397767,c
Mutagenic Growth,397717,c
Overwhelm,397693,c
Overwhelming Stampede,397788,c
Plummet,397786,c
Rampant Growth,397794,c
Scatter the Seeds,397665,c
Sundering Vitae,397792,c
Sylvan Bounty,397658,c
Thrive,397695,c
Vines of Vastwood,397747,c
Agony Warp,397784,c
Electrolyze,397832,c
Savage Twister,397814,c
Sigil Blessing,397756,c
Vengeful Rebirth,397721,c
Wrecking Ball,397789,c
Balance,413544,c
Enlightened Tutor,413551,c
Humble,413556,c
Raise the Alarm,413566,c
Rally the Peasants,413567,c
Second Thoughts,413569,c
Shelter,413571,c
Swords to Plowshares,413574,c
Unexpectedly Absent,413575,c
Wrath of God,413580,c
Brainstorm,413582,c
Counterspell,413585,c
Daze,413586,c
Deep Analysis,413587,c
Diminishing Returns,413588,c
Dream Twist,413589,c
Fact or Fiction,413590,c
Force of Will,413591,c
Hydroblast,413597,c
Memory Lapse,413602,c
Mystical Tutor,413604,c
Oona's Grace,413605,c
Quiet Speculation,413610,c
Silent Departure,413614,c
Tidal Wave,413617,c
Annihilate,413621,c
Cabal Therapy,413625,c
Duress,413628,c
Entomb,413629,c
Hymn to Tourach,413634,c
Innocent Blood,413636,c
Malicious Affliction,413638,c
Nausea,413639,c
Night's Whisper,413642,c
Sinkhole,413648,c
Toxic Deluge,413650,c
Tragic Slip,413651,c
Urborg Uprising,413653,c
Vampiric Tutor,413654,c
Victimize,413655,c
Carbonize,413664,c
Chain Lightning,413665,c
Desperate Ravings,413667,c
Faithless Looting,413670,c
Firebolt,413672,c
Flame Jab,413673,c
Gamble,413674,c
Price of Progress,413683,c
Pyroblast,413684,c
Pyrokinesis,413685,c
Reckless Charge,413686,c
Seismic Stomp,413688,c
Commune with the Gods,413704,c
Fog,413709,c
Gaea's Blessing,413710,c
Green Sun's Zenith,413711,c
Harmonize,413712,c
Invigorate,413716,c
Natural Order,413719,c
Nature's Claim,413720,c
Roar of the Wurm,413724,c
Sylvan Might,413730,c
Extract from Darkness,413742,c
Vindicate,413752,c
Void,413753,c
Zealous Persecution,413755,c
Call the Skybreaker,413756,c
Torrent of Souls,413759,c
Austere Command,429860,c
Wrath of God,429866,c
Counterspell,429869,c
Cryptic Command,429870,c
Daze,429871,c
Divert,429872,c
Force of Will,429873,c
Pact of Negation,429875,c
Spell Pierce,429876,c
Stifle,429877,c
Dark Ritual,429880,c
Diabolic Intent,429881,c
Entomb,429882,c
Mind Twist,429883,c
Chain Lightning,429885,c
Maelstrom Pulse,429888,c
Vindicate,429889,c
Armageddon,430666,c
Capsize,430667,c
Forbid,430668,c
Sunder,430671,c
Damnation,430674,c
Diabolic Edict,430676,c
Doomsday,430677,c
Slaughter Pact,430679,c
Thoughtseize,430680,c
Boil,430682,c
Shatterstorm,430683,c
Beseech the Queen,416743,c
Cabal Ritual,416744,c
Conflux,416745,c
Mind's Desire,416750,c
Obliterate,416753,c
Unmask,416757,c
Entreat the Angels,401634,c
Armageddon,386284,c
Burning of Xinye,386285,c
Cataclysm,386286,c
Decree of Annihilation,386288,c
Firespout,386289,c
Fracturing Gust,386290,c
Living Death,386291,c
Martial Coup,386292,c
Rolling Earthquake,386293,c
Terminus,386295,c
Upheaval,386296,c
Virtue's Ruin,386297,c
Wrath of God,386298,c
Dark Ritual,373329,m
Swords to Plowshares,373334,m
Hymn to Tourach,373324,m
Impulse,373330,m
Fact or Fiction,373325,m
Chainer's Edict,373317,m
Akroma's Vengeance,373328,m
Char,373332,m
Cruel Ultimatum,373318,m
Green Sun's Zenith,373333,m
Balance,194966,m
Berserk,194969,m
Channel,194967,m
Gifts Ungiven,194971,m
Mystical Tutor,194976,m
Tinker,194980,m
Dragonstorm,178015,m
Giant Growth,159037,m
Harmonize,159033,m
Wildsize,159036,m
Spitting Earth,159054,m
Beacon of Tomorrows,426574,c
Mind's Desire,426576,c
Quicken,426578,c
Snap,426582,c
Temporal Fissure,426584,c
Empty the Warrens,426587,c
Grapeshot,426588,c
Rift Bolt,426589,c
Shivan Meteor,426590,c
Volcanic Vision,426591,c
Firemind's Foresight,426593,c
Beacon of Destruction,426607,c
Firebolt,426609,c
Beast Attack,426615,c
Call of the Herd,426616,c
Harmonize,426618,c
Increasing Savagery,426619,c
Rampant Growth,426620,c
Roar of the Wurm,426621,c
Sylvan Might,426623,c
Guttural Response,426628,c
Crop Rotation,417430,c
Gaea's Blessing,417433,c
Natural Connection,417436,c
Seek the Horizon,417443,c
Vines of the Recluse,417446,c
Altar's Reap,417460,c
Ambition's Cost,417461,c
Demon's Grasp,417466,c
Disfigure,417469,c
Doom Blade,417470,c
Grim Discovery,417474,c
Hideous End,417475,c
Innocent Blood,417477,c
Mire's Toll,417478,c
Smallpox,417484,c
Tendrils of Corruption,417486,c
Eerie Interlude,409584,c
Gather the Townsfolk,409588,c
Increasing Devotion,409590,c
Momentary Blink,409591,c
Rebuke,409593,c
Pore Over the Pages,409604,c
Compelling Deterrence,409618,c
Forbidden Alchemy,409619,c
Appetite for Brains,409627,c
Barter in Blood,409628,c
Dread Return,409631,c
Human Frailty,409637,c
Moan of the Unhallowed,409638,c
Sever the Bloodline,409639,c
Tribute to Hunger,409641,c
Victim of Night,409643,c
Oust,401649,c
Repel the Darkness,401650,c
Sheer Drop,401651,c
Groundswell,401657,c
Harrow,401658,c
Primal Command,401662,c
Consume the Meek,401691,c
Corpsehatch,401692,c
Induce Despair,401695,c
Marsh Casualties,401696,c
Read the Bones,401698,c
Smother,401699,c
Forked Bolt,401702,c
Hellion Eruption,401703,c
Celestial Flare,394355,c
Dauntless Onslaught,394358,c
Decree of Justice,394359,c
Mighty Leap,394387,c
Mortal's Ardor,394388,c
Raise the Alarm,394402,c
Soul Parry,394408,c
Sunlance,394410,c
Accumulated Knowledge,394351,c
Aetherize,394352,c
Peel from Reality,394395,c
Whelming Wave,394417,c
Explore,394363,c
Explosive Vegetation,394364,c
Time to Feed,394413,c
Plasm Capture,394400,c
Urban Evolution,394414,c
Reckless Abandon,386361,c
Shock,386365,c
Bone Splinters,386306,c
Arc Trail,386301,c
Krenko's Command,386340,c
Act of Treason,386299,c
Dauntless Onslaught,386308,c
Orcish Cannonade,386356,c
Fiery Fall,386315,c
Fury of the Horde,386320,c
Banefire,386304,c
Fleeting Distraction,386317,c
Stave Off,386368,c
Swift Justice,386374,c
Impulse,386330,c
Mana Leak,386345,c
Lightning Helix,386343,c
Hold the Line,386328,c
Steam Augury,386369,c
Traumatic Visions,386377,c
Repeal,386362,c
Thought Scour,380203,m
Into the Roil,380188,m
Memory Lapse,380199,m
Prohibit,380270,m
Remand,380255,m
Griptide,380267,m
Ray of Command,380216,m
Summoner's Bane,380266,m
Jace's Ingenuity,380211,m
Spelltwine,380258,m
Tragic Slip,380221,m
Hypnotic Cloud,380225,m
Night's Whisper,380191,m
Marsh Casualties,380238,m
Treasured Find,380235,m
Last Kiss,380218,m
Consume Strength,380246,m
Grisly Spectacle,380274,m
Condemn,373407,m
Pay No Heed,373405,m
Righteousness,373381,m
Stand Firm,373343,m
Magma Jet,373400,m
Moment of Heroism,373344,m
Smite the Monstrous,373372,m
Miraculous Recovery,373370,m
Winds of Rath,373410,m
Pyrokinesis,373356,m
Shower of Sparks,373355,m
Prey Upon,373348,m
Pyroclasm,373365,m
Regrowth,373408,m
Terrifying Presence,373380,m
Destructive Revelry,373351,m
Volt Charge,373414,m
Beast Within,373352,m
Vampire's Bite,368472,m
Decompose,368506,m
Sorin's Thirst,368509,m
Urge to Feed,368522,m
Zealous Persecution,368542,m
Lingering Souls,368485,m
Mortify,368498,m
Spectral Procession,368515,m
Unmake,368514,m
Ancient Craving,368540,m
Absorb Vis,368527,m
Death Grasp,368495,m
Bump in the Night,368490,m
Blazing Salvo,368507,m
Faithless Looting,368475,m
Flame Slash,368536,m
Geistflame,368524,m
Pyroclasm,368545,m
Recoup,368517,m
Terminate,368491,m
Strangling Soot,368521,m
Browbeat,368528,m
Breaking Point,368486,m
Blightning,368483,m
Flame Javelin,368544,m
Torrent of Souls,368511,m
Devil's Play,368518,m
Brainstorm,292751,m
Force Spike,292750,m
Magma Spray,338470,m
Call to Heel,292748,m
Train of Thought,292740,m
Pyromatics,292739,m
Izzet Charm,338413,m
Reminisce,338471,m
Thunderheads,338397,m
Vacuumelt,338398,m
Dissipate,292758,m
Prophetic Bolt,338392,m
Overwhelming Intellect,292759,m
Street Spasm,338411,m
Invoke the Firemind,292732,m
Fire,292753,m
Ice,292753,m
Ghoul's Feast,338407,m
Life from the Loam,338409,m
Putrefy,292956,m
Feast or Famine,338405,m
Nightmare Void,338410,m
Vigor Mortis,338473,m
Grim Flowering,338390,m
Twilight's Call,338399,m
Path to Exile,266017,m
Preordain,265979,m
Revoke Existence,284488,m
Safe Passage,270844,m
Vanish into Memory,270831,m
Overrule,270834,m
Searing Blaze,270873,m
Downhill Charge,270854,m
Seismic Strike,270840,m
Spire Barrage,270878,m
Jaws of Stone,270833,m
Volley of Boulders,270855,m
Lightning Helix,249386,m
Lead the Stampede,249369,m
Naya Charm,249385,m
Sylvan Bounty,249392,m
Titanic Ultimatum,249370,m
Vapor Snag,249373,m
Countersquall,249406,m
Recoil,266305,m
Undermine,259278,m
Grixis Charm,259271,m
Deep Analysis,249365,m
Agonizing Demise,259268,m
Slave of Bolas,259276,m
Cruel Ultimatum,259262,m
Profane Command,259275,m
Spite,249394,m
Malice,249394,m
Harm's Way,243440,m
Reciprocate,243441,m
